"","writer_id","name"
"1",0,"Stephen King"
"2",1,"Frank Darabont"
"3",2,"Mario Puzo"
"4",3,"Francis Ford Coppola"
"5",4,"Jonathan Nolan"
"6",5,"Christopher Nolan"
"7",6,"David S. Goyer"
"8",7,"Reginald Rose"
"9",8,"Thomas Keneally"
"10",9,"Steven Zaillian"
"11",10,"J.R.R. Tolkien"
"12",11,"Fran Walsh"
"13",12,"Philippa Boyens"
"14",13,"Quentin Tarantino"
"15",14,"Roger Avary"
"16",15,"Luciano Vincenzoni"
"17",16,"Sergio Leone"
"18",17,"Agenore Incrocci"
"19",18,"Winston Groom"
"20",19,"Eric Roth"
"21",20,"Chuck Palahniuk"
"22",21,"Jim Uhls"
"23",22,"Leigh Brackett"
"24",23,"Lawrence Kasdan"
"25",24,"George Lucas"
"26",25,"Lilly Wachowski"
"27",26,"Lana Wachowski"
"28",27,"Nicholas Pileggi"
"29",28,"Martin Scorsese"
"30",29,"Lawrence Hauben"
"31",30,"Bo Goldman"
"32",31,"Ken Kesey"
"33",32,"Andrew Kevin Walker"
"34",33,"Akira Kurosawa"
"35",34,"Shinobu Hashimoto"
"36",35,"Hideo Oguni"
"37",36,"Frances Goodrich"
"38",37,"Albert Hackett"
"39",38,"Frank Capra"
"40",39,"Thomas Harris"
"41",40,"Ted Tally"
"42",41,"Robert Rodat"
"43",42,"Paulo Lins"
"44",43,"Braulio Mantovani"
"45",44,"Vincenzo Cerami"
"46",45,"Roberto Benigni"
"47",46,"James Cameron"
"48",47,"William Wisher"
"49",48,"Robert Zemeckis"
"50",49,"Bob Gale"
"51",50,"Hayao Miyazaki"
"52",51,"Ronald Harwood"
"53",52,"Wladyslaw Szpilman"
"54",53,"Joseph Stefano"
"55",54,"Robert Bloch"
"56",55,"Bong Joon Ho"
"57",56,"Han Jin-won"
"58",57,"Luc Besson"
"59",58,"Irene Mecchi"
"60",59,"Jonathan Roberts"
"61",60,"Linda Woolverton"
"62",61,"David Franzoni"
"63",62,"John Logan"
"64",63,"William Nicholson"
"65",64,"David McKenna"
"66",65,"William Monahan"
"67",66,"Alan Mak"
"68",67,"Felix Chong"
"69",68,"Christopher McQuarrie"
"70",69,"Christopher Priest"
"71",70,"Damien Chazelle"
"72",71,"Julius J. Epstein"
"73",72,"Philip G. Epstein"
"74",73,"Howard Koch"
"75",74,"Akiyuki Nosaka"
"76",75,"Isao Takahata"
"77",76,"Yasuhiko Takiguchi"
"78",77,"Olivier Nakache"
"79",78,"Eric Toledano"
"80",79,"Philippe Pozzo di Borgo"
"81",80,"Charles Chaplin"
"82",81,"Sergio Donati"
"83",82,"Dario Argento"
"84",83,"Giuseppe Tornatore"
"85",84,"Vanna Paoli"
"86",85,"John Michael Hayes"
"87",86,"Cornell Woolrich"
"88",87,"Dan O'Bannon"
"89",88,"Ronald Shusett"
"90",89,"Harry Carr"
"91",90,"Harry Crocker"
"92",91,"John Milius"
"93",92,"Michael Herr"
"94",93,"Philip Kaufman"
"95",94,"Andrew Stanton"
"96",95,"Pete Docter"
"97",96,"Jim Reardon"
"98",97,"Florian Henckel von Donnersmarck"
"99",98,"Charles Brackett"
"100",99,"Billy Wilder"
"101",100,"D.M. Marshman Jr."
"102",101,"Stanley Kubrick"
"103",102,"Calder Willingham"
"104",103,"Jim Thompson"
"105",104,"Diane Johnson"
"106",105,"Christopher Markus"
"107",106,"Stephen McFeely"
"108",107,"Stan Lee"
"109",108,"Agatha Christie"
"110",109,"Harry Kurnitz"
"111",110,"David Giler"
"112",111,"Walter Hill"
"113",112,"Phil Lord"
"114",113,"Rodney Rothman"
"115",114,"Alan Ball"
"116",115,"Terry Southern"
"117",116,"Peter George"
"118",117,"Garon Tsuchiya"
"119",118,"Nobuaki Minegishi"
"120",119,"Park Chan-wook"
"121",120,"Peter Shaffer"
"122",121,"Zdenek Mahler"
"123",122,"Lee Unkrich"
"124",123,"Jason Katz"
