"","movie_id","title","link","year","imdb_rank","imdb_votes","imdb_rating","mpaa_rating","duration","plot"
"1","tt0111161","The Shawshank Redemption","https://www.imdb.com/title/tt0111161",1994,1,2711075,9.3,"R",142,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
"2","tt0068646","The Godfather","https://www.imdb.com/title/tt0068646",1972,2,1882829,9.2,"R",175,"The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son."
"3","tt0468569","The Dark Knight","https://www.imdb.com/title/tt0468569",2008,3,2684051,9,"PG-13",152,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
"4","tt0071562","The Godfather Part II","https://www.imdb.com/title/tt0071562",1974,4,1285350,9,"R",202,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
"5","tt0050083","12 Angry Men","https://www.imdb.com/title/tt0050083",1957,5,800954,9,"Approved",96,"The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict."
"6","tt0108052","Schindler's List","https://www.imdb.com/title/tt0108052",1993,6,1369626,9,"R",195,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
"7","tt0167260","The Lord of the Rings: The Return of the King","https://www.imdb.com/title/tt0167260",2003,7,1865812,9,"PG-13",201,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"8","tt0110912","Pulp Fiction","https://www.imdb.com/title/tt0110912",1994,8,2081489,8.9,"R",154,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"9","tt0120737","The Lord of the Rings: The Fellowship of the Ring","https://www.imdb.com/title/tt0120737",2001,9,1895357,8.8,"PG-13",178,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
"10","tt0060196","The Good, the Bad and the Ugly","https://www.imdb.com/title/tt0060196",1966,10,769389,8.8,"Approved",178,"A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
"11","tt0109830","Forrest Gump","https://www.imdb.com/title/tt0109830",1994,11,2106590,8.8,"PG-13",142,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire ... Read all"
"12","tt0137523","Fight Club","https://www.imdb.com/title/tt0137523",1999,12,2154995,8.8,"R",139,"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more."
"13","tt0167261","The Lord of the Rings: The Two Towers","https://www.imdb.com/title/tt0167261",2002,13,1684712,8.8,"PG-13",179,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
"14","tt1375666","Inception","https://www.imdb.com/title/tt1375666",2010,14,2381879,8.8,"PG-13",148,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro... Read all"
"15","tt0080684","Star Wars: Episode V - The Empire Strikes Back","https://www.imdb.com/title/tt0080684",1980,15,1305762,8.7,"PG",124,"After the Rebels are overpowered by the Empire, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
"16","tt0133093","The Matrix","https://www.imdb.com/title/tt0133093",1999,16,1933943,8.7,"R",136,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
"17","tt0099685","Goodfellas","https://www.imdb.com/title/tt0099685",1990,17,1175868,8.7,"R",145,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate... Read all"
"18","tt0073486","One Flew Over the Cuckoo's Nest","https://www.imdb.com/title/tt0073486",1975,18,1017354,8.7,"18+",133,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
"19","tt0114369","Se7en","https://www.imdb.com/title/tt0114369",1995,19,1674020,8.6,"R",127,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
"20","tt0047478","Seven Samurai","https://www.imdb.com/title/tt0047478",1954,20,349499,8.6,"Not Rated",207,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
"21","tt0038650","It's a Wonderful Life","https://www.imdb.com/title/tt0038650",1946,21,467723,8.6,"PG",130,"An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed."
"22","tt0102926","The Silence of the Lambs","https://www.imdb.com/title/tt0102926",1991,22,1449285,8.6,"R",118,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
"23","tt0120815","Saving Private Ryan","https://www.imdb.com/title/tt0120815",1998,23,1406855,8.6,"R",169,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
"24","tt0317248","City of God","https://www.imdb.com/title/tt0317248",2002,24,763772,8.6,"R",130,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
"25","tt0816692","Interstellar","https://www.imdb.com/title/tt0816692",2014,25,1870060,8.6,"PG-13",169,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
"26","tt0118799","Life Is Beautiful","https://www.imdb.com/title/tt0118799",1997,26,703472,8.6,"PG-13",116,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp... Read all"
"27","tt0120689","The Green Mile","https://www.imdb.com/title/tt0120689",1999,27,1317747,8.6,"R",189,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
"28","tt0076759","Star Wars","https://www.imdb.com/title/tt0076759",1977,28,1378156,8.6,"PG",121,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ... Read all"
"29","tt0103064","Terminator 2: Judgment Day","https://www.imdb.com/title/tt0103064",1991,29,1110968,8.6,"R",137,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg."
"30","tt0088763","Back to the Future","https://www.imdb.com/title/tt0088763",1985,30,1221395,8.5,"PG",116,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
"31","tt0245429","Spirited Away","https://www.imdb.com/title/tt0245429",2001,31,776114,8.6,"PG",125,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
"32","tt0253474","The Pianist","https://www.imdb.com/title/tt0253474",2002,32,843709,8.5,"R",150,"A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II."
"33","tt0054215","Psycho","https://www.imdb.com/title/tt0054215",1960,33,679428,8.5,"R",109,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
"34","tt6751668","Parasite","https://www.imdb.com/title/tt6751668",2019,34,828575,8.5,"R",132,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
"35","tt0110413","Leon: The Professional","https://www.imdb.com/title/tt0110413",1994,35,1175098,8.5,"R",110,"12-year-old Mathilda is reluctantly taken in by Leon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protegee and learns the assassin... Read all"
"36","tt0110357","The Lion King","https://www.imdb.com/title/tt0110357",1994,36,1071355,8.5,"G",88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
"37","tt0172495","Gladiator","https://www.imdb.com/title/tt0172495",2000,37,1517132,8.5,"R",155,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"38","tt0120586","American History X","https://www.imdb.com/title/tt0120586",1998,38,1132911,8.5,"R",119,"A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did."
"39","tt0407887","The Departed","https://www.imdb.com/title/tt0407887",2006,39,1339871,8.5,"R",151,"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
"40","tt0114814","The Usual Suspects","https://www.imdb.com/title/tt0114814",1995,40,1095033,8.5,"R",106,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
"41","tt0482571","The Prestige","https://www.imdb.com/title/tt0482571",2006,41,1348423,8.5,"PG-13",130,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
"42","tt2582802","Whiplash","https://www.imdb.com/title/tt2582802",2014,42,883875,8.5,"R",106,"A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
"43","tt0034583","Casablanca","https://www.imdb.com/title/tt0034583",1942,43,577758,8.5,"PG",102,"A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco."
"44","tt0095327","Grave of the Fireflies","https://www.imdb.com/title/tt0095327",1988,44,282456,8.5,"Not Rated",89,"A young boy and his little sister struggle to survive in Japan during World War II."
"45","tt0056058","Harakiri","https://www.imdb.com/title/tt0056058",1962,45,59327,8.6,"Not Rated",133,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so ... Read all"
"46","tt1675434","The Intouchables","https://www.imdb.com/title/tt1675434",2011,46,870273,8.5,"R",112,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
"47","tt0027977","Modern Times","https://www.imdb.com/title/tt0027977",1936,47,245671,8.5,"G",87,"The Tramp struggles to live in modern industrial society with the help of a young homeless woman."
"48","tt0064116","Once Upon a Time in the West","https://www.imdb.com/title/tt0064116",1968,48,333809,8.5,"PG-13",165,"A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad."
"49","tt0095765","Cinema Paradiso","https://www.imdb.com/title/tt0095765",1988,49,264969,8.5,"PG",155,"A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist."
"50","tt0047396","Rear Window","https://www.imdb.com/title/tt0047396",1954,50,497077,8.5,"PG",112,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism o... Read all"
"51","tt0078748","Alien","https://www.imdb.com/title/tt0078748",1979,51,892980,8.5,"R",117,"The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission."
"52","tt0021749","City Lights","https://www.imdb.com/title/tt0021749",1931,52,186874,8.5,"G",87,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
